"Language","Roots","Und","Pairs","Equi","ND"
"Acholi",102,0.519607843137255,128,0.48046875,0.5078125
"Alamblak",20,0.1,10,0,0.1
"Basque",82,0.0975609756097561,147,0.108843537414966,0.45578231292517
"Carib",48,0.520833333333333,47,0.553191489361702,0.148936170212766
"Dani (Lower Grand Valley)",31,0.290322580645161,29,0.448275862068966,0.0689655172413793
"English",103,0,432,0.0300925925925926,0.375
"Fijian",66,0.0303030303030303,63,0.158730158730159,0.0476190476190476
"Finnish",104,0.153846153846154,469,0.216417910447761,0.239872068230277
"French",87,0,377,0.112732095490716,0.181697612732096
"Georgian",78,0.0512820512820513,38,0.526315789473684,0.105263157894737
"German",68,0.117647058823529,287,0.142857142857143,0.17595818815331
"Gooniyandi",33,0,3,0,1
"Greek (Modern)",76,0.0263157894736842,154,0.0844155844155844,0.428571428571429
"Hausa",73,0.205479452054795,90,0.505555555555556,0.266666666666667
"Hindi",93,0.021505376344086,172,0.229651162790698,0.197674418604651
"Hopi",75,0.213333333333333,142,0.352112676056338,0.0563380281690141
"Jakaltek",57,0,16,0,0.4375
"Japanese",83,0.0240963855421687,100,0.38,0.2
"Kayardild",49,0,45,0.266666666666667,0
"Khalkha",65,0.138461538461538,167,0.272455089820359,0.0868263473053892
"Koiari",57,0.157894736842105,48,0.229166666666667,0.3125
"Korean",94,0.117021276595745,88,0.272727272727273,0.340909090909091
"Malagasy",73,0.534246575342466,119,0.663865546218487,0.0588235294117647
"Mandarin",101,0.0396039603960396,190,0.131578947368421,0.386842105263158
"Mapudungun",75,0.0266666666666667,85,0.0470588235294118,0.305882352941176
"Martuthunira",50,0,36,0.194444444444444,0.111111111111111
"Meithei",86,0.0465116279069767,61,0.147540983606557,0.19672131147541
"Mixtec (Chalcatongo)",93,0.0537634408602151,53,0.169811320754717,0.113207547169811
"Paiwan",60,0.616666666666667,71,0.52112676056338,0.0985915492957746
"Persian",91,0.142857142857143,100,0.15,0.3
"Pintupi",75,0.213333333333333,73,0.315068493150685,0.0684931506849315
"Quechua (Huallaga)",93,0.0967741935483871,62,0.0967741935483871,0.145161290322581
"Russian",82,0.0487804878048781,273,0.15018315018315,0.205128205128205
"Spanish",74,0.027027027027027,287,0.17595818815331,0.0801393728222996
"Swahili",98,0.204081632653061,177,0.225988700564972,0.22316384180791
"Tenango Tzeltal",76,0.0526315789473684,303,0.198019801980198,0.102310231023102
"Turkish",89,0.0898876404494382,199,0.14321608040201,0.0527638190954774
"Vietnamese",71,0,144,0.180555555555556,0.229166666666667
"Warao",60,0.0166666666666667,104,0.158653846153846,0.225961538461538
"Yaqui",76,0.0131578947368421,85,0.264705882352941,0.229411764705882
"Yoruba",175,0.0228571428571429,204,0.0294117647058824,0.627450980392157
"Yup'ik",66,0.121212121212121,88,0.136363636363636,0.204545454545455
"Zoque (Copainala)",69,0,149,0.140939597315436,0.144295302013423
