"Language","Roots","Und","Pairs","Equi","ND"
"Acholi",102,0.852941176470588,249,0.64859437751004,0.345381526104418
"Alamblak",20,0.1,29,0.0689655172413793,0.137931034482759
"Anejom̃",85,0,54,0,0.888888888888889
"Arabic (Egyptian)",76,1,272,0.457720588235294,0.277573529411765
"Barasano",73,0,74,0.027027027027027,0.418918918918919
"Bariai",85,0.0117647058823529,109,0.036697247706422,0.192660550458716
"Basque",82,0.0975609756097561,201,0.0995024875621891,0.445273631840796
"Berber (Middle Atlas)",94,0.808510638297872,206,0.087378640776699,0.300970873786408
"Burmese",88,0.0113636363636364,238,0.00420168067226891,0.611344537815126
"Burushaski",106,0.10377358490566,92,0.0434782608695652,0.380434782608696
"Carib",48,0.583333333333333,86,0.697674418604651,0.116279069767442
"Chamorro",77,0,170,0.194117647058824,0.173529411764706
"Chukchi",51,0,114,0.0350877192982456,0.504385964912281
"Cree (Plains)",105,0.847619047619048,247,0.692307692307692,0.212550607287449
"Daga",77,0,23,0.0434782608695652,0.434782608695652
"Dani (Lower Grand Valley)",31,0.290322580645161,91,0.516483516483517,0.032967032967033
"English",103,0,432,0.0300925925925926,0.375
"Fijian",66,0.0303030303030303,148,0.310810810810811,0.0337837837837838
"Finnish",104,0.365384615384615,469,0.216417910447761,0.239872068230277
"French",87,0,377,0.112732095490716,0.181697612732096
"Georgian",78,0.0512820512820513,67,0.701492537313433,0.0895522388059701
"German",68,0.117647058823529,287,0.142857142857143,0.17595818815331
"Gooniyandi",33,0,3,0,1
"Greek (Modern)",76,0.0526315789473684,154,0.0844155844155844,0.428571428571429
"Guaraní",95,0.0105263157894737,122,0.0327868852459016,0.368852459016393
"Gújjolaay Eegimaa",75,0.973333333333333,263,0.0570342205323194,0.479087452471483
"Hausa",73,0.287671232876712,90,0.505555555555556,0.266666666666667
"Hawaiian",116,0.00862068965517241,89,0.0337078651685393,0.393258426966292
"Hebrew (Modern)",89,1,315,0.53015873015873,0.258730158730159
"Hindi",93,0.021505376344086,258,0.281007751937984,0.143410852713178
"Hopi",75,0.213333333333333,249,0.465863453815261,0.0321285140562249
