"Language","Roots","Und","Pairs","Equi","ND"
"Acholi",102,0.519607843137255,128,0.48046875,0.5078125
"Alamblak",20,0.1,10,0,0.1
"Anejom̃",85,0,54,0,0.888888888888889
"Arabic (Egyptian)",76,0.934210526315789,272,0.457720588235294,0.277573529411765
"Barasano",73,0,45,0.0444444444444444,0.666666666666667
"Bariai",85,0.0117647058823529,37,0.027027027027027,0.378378378378378
"Basque",82,0.0975609756097561,147,0.108843537414966,0.45578231292517
"Berber (Middle Atlas)",94,0.670212765957447,187,0.0855614973262032,0.320855614973262
"Burmese",88,0.0113636363636364,90,0.0111111111111111,0.672222222222222
"Burushaski",106,0.10377358490566,92,0.0434782608695652,0.380434782608696
"Carib",48,0.520833333333333,47,0.553191489361702,0.148936170212766
"Chamorro",77,0,39,0.0256410256410256,0.461538461538462
"Chukchi",51,0,22,0.0454545454545455,0.25
"Cree (Plains)",105,0.19047619047619,171,0.713450292397661,0.225146198830409
"Daga",77,0,23,0.0434782608695652,0.434782608695652
"Dani (Lower Grand Valley)",31,0.290322580645161,29,0.448275862068966,0.0689655172413793
"English",103,0,432,0.0300925925925926,0.375
"Fijian",66,0.0303030303030303,63,0.158730158730159,0.0476190476190476
"Finnish",104,0.153846153846154,469,0.216417910447761,0.239872068230277
"French",87,0,377,0.112732095490716,0.181697612732096
"Georgian",78,0.0512820512820513,38,0.526315789473684,0.105263157894737
"German",68,0.117647058823529,287,0.142857142857143,0.17595818815331
"Gooniyandi",33,0,3,0,1
"Greek (Modern)",76,0.0263157894736842,154,0.0844155844155844,0.428571428571429
"Guaraní",95,0.0105263157894737,95,0.0421052631578947,0.463157894736842
"Gújjolaay Eegimaa",75,0.973333333333333,263,0.0570342205323194,0.479087452471483
"Hausa",73,0.205479452054795,90,0.505555555555556,0.266666666666667
"Hawaiian",116,0.00862068965517241,88,0.0340909090909091,0.397727272727273
"Hebrew (Modern)",89,1,315,0.53015873015873,0.258730158730159
"Hindi",93,0.021505376344086,172,0.229651162790698,0.197674418604651
"Hopi",75,0.213333333333333,142,0.352112676056338,0.0563380281690141
"Huitoto (Minica)",85,0.435294117647059,46,0.271739130434783,0.630434782608696
"Indonesian",94,0.159574468085106,159,0.0377358490566038,0.374213836477987
"Jakaltek",57,0,16,0,0.4375
"Japanese",83,0.0240963855421687,100,0.38,0.2
"Kakataibo",123,0.260162601626016,531,0.146892655367232,0.165725047080979
"Kannada",71,0.140845070422535,30,0.133333333333333,0.5
"Karok",75,0.133333333333333,29,0.241379310344828,0.275862068965517
"Kayardild",49,0,45,0.266666666666667,0
"Kewa",71,0,13,0,0.769230769230769
"Khalkha",65,0.138461538461538,167,0.272455089820359,0.0868263473053892
"Khoekhoe",89,0,124,0.0725806451612903,0.282258064516129
"Kinyarwanda",69,0.0579710144927536,113,0.0353982300884956,0.442477876106195
"Kiowa",23,0,9,0.111111111111111,0
"Koasati",70,0,68,0.0147058823529412,0.176470588235294
"Koiari",57,0.157894736842105,48,0.229166666666667,0.3125
"Korean",94,0.117021276595745,88,0.272727272727273,0.340909090909091
"Koyraboro Senni",55,0,54,0.111111111111111,0.0925925925925926
"Kwoma",63,0,36,0,0.694444444444444
"Lakhota",68,0.0294117647058824,70,0.121428571428571,0.235714285714286
"Lezgian",81,0.037037037037037,29,0.0689655172413793,0.448275862068966
"Malagasy",73,0.534246575342466,119,0.663865546218487,0.0588235294117647
"Mandarin",101,0.0396039603960396,190,0.131578947368421,0.386842105263158
"Mapudungun",75,0.0266666666666667,85,0.0470588235294118,0.305882352941176
"Martuthunira",50,0,36,0.194444444444444,0.111111111111111
"Meithei",86,0.0465116279069767,61,0.147540983606557,0.19672131147541
"Mixtec (Chalcatongo)",93,0.0537634408602151,53,0.169811320754717,0.113207547169811
"Mocovi",70,0.0428571428571429,120,0.0791666666666667,0.3625
"Murrinh-Patha",49,0,29,0,0.96551724137931
"Navajo",59,1,100,0.44,0.34
"Oksapmin",62,0,15,0,0.8
"Oneida",55,0.981818181818182,57,0.587719298245614,0.342105263157895
"Oromo (Harar)",57,0.280701754385965,88,0.948863636363636,0.0454545454545455
"Otomi",172,0.0232558139534884,97,0.11340206185567,0.670103092783505
"Paiwan",60,0.616666666666667,71,0.52112676056338,0.0985915492957746
"Paumarí",61,0.901639344262295,52,0.75,0.153846153846154
"Persian",91,0.142857142857143,100,0.15,0.3
"Pintupi",75,0.213333333333333,73,0.315068493150685,0.0684931506849315
"Quechua (Huallaga)",93,0.0967741935483871,62,0.0967741935483871,0.145161290322581
"Rama",54,0,40,0.15,0.05
"Russian",82,0.0487804878048781,273,0.15018315018315,0.205128205128205
"Sango",102,0.0392156862745098,171,0.0409356725146199,0.871345029239766
"Spanish",74,0.027027027027027,287,0.17595818815331,0.0801393728222996
"Swahili",98,0.204081632653061,177,0.225988700564972,0.22316384180791
"Tagalog",93,0.387096774193548,78,0.692307692307692,0.192307692307692
"Tenango Tzeltal",76,0.0526315789473684,303,0.198019801980198,0.102310231023102
"Thai",102,0.0392156862745098,94,0.0319148936170213,0.606382978723404
"Tiwi",45,0,17,0.0588235294117647,0.529411764705882
"Tsimshian (Coast)",73,0.0684931506849315,38,0.0263157894736842,0.657894736842105
"Turkish",89,0.0898876404494382,199,0.14321608040201,0.0527638190954774
"Vietnamese",71,0,144,0.180555555555556,0.229166666666667
"Warao",60,0.0166666666666667,104,0.158653846153846,0.225961538461538
"Yagua",124,0.0483870967741935,151,0.0993377483443709,0.47682119205298
"Yaqui",76,0.0131578947368421,85,0.264705882352941,0.229411764705882
"Yoruba",175,0.0228571428571429,204,0.0294117647058824,0.627450980392157
"Yup'ik",66,0.121212121212121,88,0.136363636363636,0.204545454545455
"Zoque (Copainala)",69,0,149,0.140939597315436,0.144295302013423
"Zulu",84,0,212,0.167452830188679,0.391509433962264
